municipality,state,vendor_name,ticker,doc_type,document_date,context_snippet
Caribou,ME,Central Maine Power,AGR,tax_lien,XXXX-04-01,example of a utility supply company for transmission line or pipeline right-of-way areas
Augusta,ME,CENTRAL MAINE POWER CO,AGR,attachment,July 2025,owns a parcel of land in the mapped area.
Saratoga Springs,UT,Republic Services,RSG,document,January 2023,Contact information provided for garbage can delivery and service arrangements.
State of RI,RI,AES Corporation,AES,legislative_document,"January 1, 2036",Potential beneficiary as an 'electric and gas company' from tax suspension
State of RI,RI,Eversource Energy,ES,legislative_document,"January 1, 2036",Potential beneficiary as an 'electric and gas company' from tax suspension
State of RI,RI,National Grid,NGG,legislative_document,"January 1, 2036",Potential beneficiary as an 'electric and gas company' from tax suspension
Cottonwood,AZ,ACM,ACM,document,FY 21,Mentioned in relation to hosting and maintaining a public calendar of events.
Sandwich,MA,Eversource,ES,document_center,2050-01-01,"The microgrid is connected to Eversource’s 22.5 kV distribution network, and the company provides coordination and support for grid interconnection."
La Marque,TX,Waste Management,WM,document,2028,
Wells,ME,AT & T MOBILITY,T,check_register,2027-02-16,Telephone/Operating services
San Miguel County,CO,Bruin Waste Management,WM,document,2026-12-10,Has a service contract for household garbage disposal at the Norwood transfer station.
Newton County,GA,Stantec Consulting,STN,agenda,2026-07-01,Proposed provider of engineering services for Water Infrastructure Improvements at Williams Street Water Treatment Plant.
Newton County,GA,Walmart,WMT,agenda,2026-07-01,Potential grant source for Life Jacket Loaner Station materials.
Auburn,ME,Comcast,CMCSA,budget,2026-06-30,Cable Television Franchise
Geneva,IL,Tyler Technologies,TYL,document,2026-05-01,Mentioned in the context of an upgrade to Tyler Records Management.
Falmouth,ME,Central Maine Power,AGR,budget,2026-04-01,The Town’s electricity cost has been covered by credits from Central Maine Power for the solar power generated by the Town’s solar array.
Clayton County,IA,Microsoft,MSFT,agenda,2026-03-30,Meeting will be held via Microsoft Teams.
Falmouth,ME,CENTRAL MAINE POWER COMPANY,AGR,attachment,2026-03-24,Has an easement on the property for utility services.
Hamshire,IL,American Towers LLC,AMT,faa_filing,2026-03-19,Proposed the construction of a tower/antenna.
Monee,IL,American Towers LLC,AMT,faa_filing,2026-03-19,Proposed the construction of a tower.
Pocatello,ID,Shoshone-Bannock Tribes Environmental Waste Management Program,WM,agenda,2026-03-18,Listed as an exhibitor.
Pocatello,ID,Pocatello Community Charter School,CHTR,agenda,2026-03-18,Listed as an exhibitor.
Crisfield,MD,"Spectrum Northeast, LLC",CHTR,faa_filing,2026-03-18,"Proposed the construction of a 255 ft AGL tower in Crisfield, MD."
Newark,NJ,T-Mobile,TMUS,faa_filing,2026-03-18,T-Mobile Telecom Cell Facility structure proposed.
Monterey,CA,AT&T Mobility,T,faa_filing,2026-03-18,Proposed a 74 ft AGL structure.
Poulan,GA,Crown Castle USA - MG,CCI,faa_filing,2026-03-18,Proposed the construction of a GA5305 SYLVESTER structure.
Clinton,IA,American Towers LLC,AMT,faa_filing,2026-03-18,Proposed tower/antenna construction
Gladbrook,IA,American Towers LLC,AMT,faa_filing,2026-03-18,Proposed the construction of a tower.
Iowa City,IA,American Towers LLC,AMT,faa_filing,2026-03-18,American Towers LLC - AS is the sponsor/applicant for the proposed Goldfinch structure.
Davenport,IA,American Towers LLC,AMT,faa_filing,2026-03-18,"Proposed construction of a Jersey structure in Davenport, IA."
SAN BENITO,TX,AT&T,T,faa_filing,2026-03-18,AT&T (VR) is the sponsor/applicant for the proposed structure.
GOLIAD,TX,Crown Castle USA - MG,CCI,faa_filing,2026-03-18,Proposed construction of an 856414 USCC - GOLIAD structure.
Concord,NH,Tyler Technologies,TYL,agenda,2026-03-18,"Tyler Tech, Tyler Technologies, Munis, iasWorld"
Delmar,CA,Spectrum,CHTR,agenda,2026-03-17,Channel 24 for viewing the City Council meeting.
Delmar,CA,AT&T,T,agenda,2026-03-17,Channel 99 for viewing the City Council meeting.
Birmingham,AL,CROWN CASTLE USA,CCI,faa_filing,2026-03-17,Proposed tower/antenna construction
Clarendon Hills,IL,AT&T,T,document,2026-03-16,
Clarendon Hills,IL,T-Mobile,TMUS,document,2026-03-16,victim's check was written to T-Mobile
Clarendon Hills,IL,Mueller Water Products,MWA,report,2026-03-16,Mentioned implicitly through water main replacement and repair activities.
Clarendon Hills,IL,Advanced Drainage Systems,WMS,report,2026-03-16,Mentioned implicitly through water main replacement activities.
Clarendon Hills,IL,Tyler Technologies,TYL,report,2026-03-16,The Village is coordinating with the Village’s new ERP provider during the data-gathering phase of the implementation process.
Lake Jackson,TX,"Johnson Controls, Inc.",JCI,agenda,2026-03-16,pre-order HVAC system for the police building under the Project Development Agreement
Geneva,IL,Airgas USA LLC,AIQUY,check_register,2026-03-16,Provided cylinder rentals.
Geneva,IL,Amazon,AMZN,check_register,2026-03-16,"Supplied various office supplies, electronics, and maintenance items."
Geneva,IL,American Water Works Association,AWK,check_register,2026-03-16,Membership renewal and dues for PW Director and Lead Water & Sewer.
Geneva,IL,AT&T,T,check_register,2026-03-16,Charged for pedestal installation.
MELROSE,NY,CROWN CASTLE USA,CCI,faa_filing,2026-03-16,Sponsor/Applicant for the proposed tower construction.
Cuba,KS,American Towers LLC,AMT,faa_filing,2026-03-16,American Towers LLC is the sponsor/applicant for the proposed tower construction.
Linn,MO,AT&T,T,faa_filing,2026-03-16,AT&T (ST5066) is the sponsor/applicant for the proposed tower construction.
McAllen,TX,Crown Castle USA - DDS,CCI,faa_filing,2026-03-16,Proposed the construction of an 881455 MTC 1 structure.
